entity_id,alias,canonical,schemata
CCnn60ZKvfzwk9d,Directorate-General for Humanitarian Aid and Civil Protection (ECHO),Directorate-General for Humanitarian Aid and Civil Protection (ECHO),:base:address:organisation:public_body:web:
CCnn60ZKvfzwk9d,Humanitarian Aid DG (ECHO),Directorate-General for Humanitarian Aid and Civil Protection (ECHO),:base:address:organisation:public_body:web:
CCnn60ZKvfzwk9d,"European Commission, Directorate-General for Humanitarian Aid and Civil Protection — ECHO",Directorate-General for Humanitarian Aid and Civil Protection (ECHO),:base:address:organisation:public_body:web:
C89xk9hLUllqgwN,Directorate-General for Informatics,Directorate-General for Informatics,:base:address:organisation:public_body:web:
C89xk9hLUllqgwN,Informatics DG (DIGIT),Directorate-General for Informatics,:base:address:organisation:public_body:web:
C89xk9hLUllqgwN,"European Commission, Directorate-General for Informatics, Resources and Logistics Directorate, Procurement and Contracts Unit",Directorate-General for Informatics,:base:address:organisation:public_body:web:
GpHBdL1De2WrWGE,Directorate-General for Communication,Directorate-General for Communication,:base:address:organisation:public_body:web:
GpHBdL1De2WrWGE,Communication DG (COMM),Directorate-General for Communication,:base:address:organisation:public_body:web:
GpHBdL1De2WrWGE,Communication DG (COMM),Directorate-General for Communication,:base:address:organisation:public_body:web:
GpHBdL1De2WrWGE,"European Parliament, Directorate-General for Communication",Directorate-General for Communication,:base:address:organisation:public_body:web:
CjlK2b0xJXdWZMG,Directorate-General for Justice,Directorate-General for Justice,:base:public_body:
CjlK2b0xJXdWZMG,Justice (JUSTICE),Directorate-General for Justice,:base:public_body:
CjlK2b0xJXdWZMG,Justice DG,Directorate-General for Justice,:base:public_body:
GgD8ozeDp12DyKc,Directorate-General for Agriculture and Rural Development,Directorate-General for Agriculture and Rural Development,:base:public_body:
GgD8ozeDp12DyKc,Agriculture and Rural Development DG (AGRI),Directorate-General for Agriculture and Rural Development,:base:public_body:
GgD8ozeDp12DyKc,Agriculture and Rural Development DG,Directorate-General for Agriculture and Rural Development,:base:public_body:
DnAsQ16mDe7lSGH,Directorate-General for the Internal Market and Services,Directorate-General for the Internal Market and Services,:base:address:organisation:public_body:web:
DnAsQ16mDe7lSGH,Internal Market and Services DG (MARKT),Directorate-General for the Internal Market and Services,:base:address:organisation:public_body:web:
DnAsQ16mDe7lSGH,"European Commission, Directorate-General for the Internal Market and Services",Directorate-General for the Internal Market and Services,:base:address:organisation:public_body:web:
FuAzt9f54Xh1Fle,VER.DI - VEREINTE DIENSTLEISTUNGSGEWERKSCHAFT,VER.DI - VEREINTE DIENSTLEISTUNGSGEWERKSCHAFT,:base:organisation:
FuAzt9f54Xh1Fle,Vereinte Dienstleistungsgewerkschaft (ver.di),VER.DI - VEREINTE DIENSTLEISTUNGSGEWERKSCHAFT,:base:organisation:
FuAzt9f54Xh1Fle,VERDI,VER.DI - VEREINTE DIENSTLEISTUNGSGEWERKSCHAFT,:base:organisation:
ogKg1zF2i7RFIlm,Directorate-General for Trade,Directorate-General for Trade,:base:public_body:
ogKg1zF2i7RFIlm,Trade DG (TRADE),Directorate-General for Trade,:base:public_body:
ogKg1zF2i7RFIlm,Trade DG,Directorate-General for Trade,:base:public_body:
E7YPNNBwUsjgvHG,CCNR (Central Commission for Navigation on the Rhine),CCNR (Central Commission for Navigation on the Rhine),:base:organisation:
E7YPNNBwUsjgvHG,CCNR (Central Commission for Navigation on the Rhine),CCNR (Central Commission for Navigation on the Rhine),:base:organisation:
E7YPNNBwUsjgvHG,CCNR - Central Commission for the Navigation on the Rhine,CCNR (Central Commission for Navigation on the Rhine),:base:organisation:
EUk7sSnxFXoCCNN,Ministry of Economy and Energy (Bulgaria),Ministry of Economy and Energy (Bulgaria),:base:address:public_body:
EUk7sSnxFXoCCNN,Ministry of economy and Energy (Bulgaria),Ministry of Economy and Energy (Bulgaria),:base:address:public_body:
C8ocTxuONmDEgtO,United Nations Economic Commission for Europe (UNECE),United Nations Economic Commission for Europe (UNECE),:base:organisation:
C8ocTxuONmDEgtO,UNECE - United Nations Economic Commission for Europe,United Nations Economic Commission for Europe (UNECE),:base:organisation:
EE5tvDTuURjX2Y4,EuroControl,EuroControl,:base:organisation:
EE5tvDTuURjX2Y4,EUROCONTROL,EuroControl,:base:organisation:
GgEPk6uvWN9UzjC,Ministry of Labour and Social Insurance  (Cyprus),Ministry of Labour and Social Insurance  (Cyprus),:base:address:public_body:
GgEPk6uvWN9UzjC,Ministry of Labour and Social Insurance (Cyprus),Ministry of Labour and Social Insurance  (Cyprus),:base:address:public_body:
DvAyl4HSEtW5crB,Eurochild AISBL,Eurochild AISBL,:base:organisation:
DvAyl4HSEtW5crB,Eurochild,Eurochild AISBL,:base:organisation:
BHKaguvcofG62R6,Eurodiaconia,Eurodiaconia,:base:organisation:
BHKaguvcofG62R6,EURODIACONIA,Eurodiaconia,:base:organisation:
FBN85tHQniE0Z7v,European Anti Poverty Network (EAPN),European Anti Poverty Network (EAPN),:base:address:geolocated:organisation:representative:web:
FBN85tHQniE0Z7v,European Anti Poverty Network,European Anti Poverty Network (EAPN),:base:address:geolocated:organisation:representative:web:
CKWYVclrEqS3Yit,Red Cross EU Office,Red Cross EU Office,:base:organisation:
CKWYVclrEqS3Yit,Red Cross / EU Office,Red Cross EU Office,:base:organisation:
Dylxai1qnrhY9RW,Mrs Julia Maier-Hauff,Mrs Julia Maier-Hauff,:base:person:
Dylxai1qnrhY9RW,Mrs Julia MAIER-HAUFF,Mrs Julia Maier-Hauff,:base:person:
DKhWJkMh0HBprtN,Confederation of Norwegian Enterprise (NHO),Confederation of Norwegian Enterprise (NHO),:base:organisation:
DKhWJkMh0HBprtN,Confederation of Norwegian Enterprise - NHO,Confederation of Norwegian Enterprise (NHO),:base:organisation:
DJmOBVmJ8M6DZNd,International Aid Services (IAS),International Aid Services (IAS),:base:organisation:
DJmOBVmJ8M6DZNd,International Aid Services,International Aid Services (IAS),:base:organisation:
Eh0AeIFQolCJYvb,Inland Navigation Europe (INE),Inland Navigation Europe (INE),:base:address:geolocated:organisation:representative:web:
Eh0AeIFQolCJYvb,Inland Navigation Europe,Inland Navigation Europe (INE),:base:address:geolocated:organisation:representative:web:
HQV34URDwxjgPsZ,World Federation of Advertisers (WFA),World Federation of Advertisers (WFA),:base:address:geolocated:organisation:representative:web:
HQV34URDwxjgPsZ,World Federation of Advertisers,World Federation of Advertisers (WFA),:base:address:geolocated:organisation:representative:web:
FBKWZa9s2O88ugS,European Publishers Council (EPC),European Publishers Council (EPC),:base:address:geolocated:organisation:representative:web:
FBKWZa9s2O88ugS,European Publishers Council,European Publishers Council (EPC),:base:address:geolocated:organisation:representative:web:
D7r6RAvTgPRo8hG,Jerónimo Alexandre Rato,Jerónimo Alexandre Rato,:base:person:
D7r6RAvTgPRo8hG,Ms Alexandra Bosbeer,Jerónimo Alexandre Rato,:base:person:
f1JgvxjHJFKCnO5,Renault,Renault,:base:address:geolocated:organisation:representative:web:
f1JgvxjHJFKCnO5,RENAULT,Renault,:base:address:geolocated:organisation:representative:web:
Bp9cIXwA8EYZgeM,EFTA Surveillance Authority,EFTA Surveillance Authority,:base:organisation:
Bp9cIXwA8EYZgeM,EFTA - Surveillance Authority,EFTA Surveillance Authority,:base:organisation:
G6yTly0aLFUURax,"Ministry of Labour, Family and Social Affairs  (Slovenia)","Ministry of Labour, Family and Social Affairs  (Slovenia)",:base:address:public_body:
G6yTly0aLFUURax,"Ministry of Labour, Family and Social Affairs (Slovenia)","Ministry of Labour, Family and Social Affairs  (Slovenia)",:base:address:public_body:
qBtqgCAAk6cg0l9,Ministry of Employment and The Economy (Finland),Ministry of Employment and The Economy (Finland),:base:address:public_body:
qBtqgCAAk6cg0l9,Ministry of Employment and the Economy (Finland),Ministry of Employment and The Economy (Finland),:base:address:public_body:
wCW2baifTvG0KDA,Bundesministerium für Arbeit und Soziales  (Germany),Bundesministerium für Arbeit und Soziales  (Germany),:base:address:public_body:
wCW2baifTvG0KDA,Bundesministerium für Arbeit und Soziales (Germany),Bundesministerium für Arbeit und Soziales  (Germany),:base:address:public_body:
BUGIiiHEv3i1ofi,Ministry of Welfare  (Latvia),Ministry of Welfare  (Latvia),:base:address:public_body:
BUGIiiHEv3i1ofi,Ministry of Welfare (Latvia),Ministry of Welfare  (Latvia),:base:address:public_body:
Gy9IJAnF8eNdptD,"Service Public Fédéral Emploi, Travail et Concertation sociale  (Belgium)","Service Public Fédéral Emploi, Travail et Concertation sociale  (Belgium)",:base:address:public_body:
Gy9IJAnF8eNdptD,"Service Public fédéral - Emploi, Travail et Concertation sociale (Belgium)","Service Public Fédéral Emploi, Travail et Concertation sociale  (Belgium)",:base:address:public_body:
BmINHHeQve96coP,"Ministry for Infrastructure, Transport and Communications  (Malta)","Ministry for Infrastructure, Transport and Communications  (Malta)",:base:address:public_body:
BmINHHeQve96coP,"Ministry for Infrastructure, Transport and Communications  (Malta)","Ministry for Infrastructure, Transport and Communications  (Malta)",:base:address:public_body:
BmINHHeQve96coP,"Ministry for Infrastructure,Transport and Communications  (Malta)","Ministry for Infrastructure, Transport and Communications  (Malta)",:base:address:public_body:
BmINHHeQve96coP,"Ministry for Infrastructure,Transport and Communications (Malta)","Ministry for Infrastructure, Transport and Communications  (Malta)",:base:address:public_body:
DKSwtMrSadgJvfp,The Leprosy Mission International (TLMI),The Leprosy Mission International (TLMI),:base:organisation:
DKSwtMrSadgJvfp,The Leprosy Mission International,The Leprosy Mission International (TLMI),:base:organisation:
FHGjPPPadfAPaqR,BusinessEurope,BusinessEurope,:base:organisation:
FHGjPPPadfAPaqR,BUSINESSEUROPE,BusinessEurope,:base:organisation:
HfzT5zBg9mqE8yK,European Consumer Debt Network (ECDN),European Consumer Debt Network (ECDN),:base:organisation:
HfzT5zBg9mqE8yK,European Consumer Debt Netwrok,European Consumer Debt Network (ECDN),:base:organisation:
CkV9kHJDX1AiNvP,"Ministry of Labour, Family and Social Affairs (Slovakia)","Ministry of Labour, Family and Social Affairs (Slovakia)",:base:address:public_body:
CkV9kHJDX1AiNvP,"Ministry of Labour, Social Affairs and Family (Slovakia)","Ministry of Labour, Family and Social Affairs (Slovakia)",:base:address:public_body:
Dp6jEa8McUkUpcj,ISTAT Istituto Nazionale di Statistica (Italy),ISTAT Istituto Nazionale di Statistica (Italy),:base:address:public_body:
Dp6jEa8McUkUpcj,ISTAT Istituto Nazionale di Statistica (Italy),ISTAT Istituto Nazionale di Statistica (Italy),:base:address:public_body:
Dp6jEa8McUkUpcj,Istat - Istituto nazionale di statistica  (Italy),ISTAT Istituto Nazionale di Statistica (Italy),:base:address:public_body:
Dp6jEa8McUkUpcj,Istat - Istituto nazionale di statistica (Italy),ISTAT Istituto Nazionale di Statistica (Italy),:base:address:public_body:
BNi0ZrBSuXAYn69,European Heart Network (EHN),European Heart Network (EHN),:address:representative:geolocated:web:base:organisation:
BNi0ZrBSuXAYn69,European Heart Network,European Heart Network (EHN),:address:representative:geolocated:web:base:organisation:
Bz3V2hGRKeHPeUM,European Aluminium Association (EAA),European Aluminium Association (EAA),:web:organisation:address:base:geolocated:representative:
Bz3V2hGRKeHPeUM,European Aluminium Association AISBL,European Aluminium Association (EAA),:web:organisation:address:base:geolocated:representative:
Gnr2fGbvVgDzvMb,"European Association for Forwarding, Transport, Logistic and Customs Services (CLECAT)","European Association for Forwarding, Transport, Logistic and Customs Services (CLECAT)",:base:address:geolocated:organisation:representative:web:
Gnr2fGbvVgDzvMb,"European Association for Forwarding, Transport, Logistic and Customs Services (CLECAT)","European Association for Forwarding, Transport, Logistic and Customs Services (CLECAT)",:base:address:geolocated:organisation:representative:web:
Gnr2fGbvVgDzvMb,"CLECAT - European association for forwarding, transport, logistic and Customs services","European Association for Forwarding, Transport, Logistic and Customs Services (CLECAT)",:base:address:geolocated:organisation:representative:web:
FAb8LAEzDgCXWw6,Danske Bank,Danske Bank,:base:organisation:
FAb8LAEzDgCXWw6,Danske bank,Danske Bank,:base:organisation:
C42IlQIjWyt7ZPt,Ministry of Economy and Employment  (Portugal),Ministry of Economy and Employment  (Portugal),:base:address:public_body:
C42IlQIjWyt7ZPt,Ministry of Economy and Employment (Portugal),Ministry of Economy and Employment  (Portugal),:base:address:public_body:
HvYvbA0GDGcrLHr,"Ministry of Enterprise, Energy and Communications
 (Sweden)","Ministry of Enterprise, Energy and Communications
 (Sweden)",:base:address:public_body:
HvYvbA0GDGcrLHr,"Ministry of Enterprise, Energy and Communications (Sweden)","Ministry of Enterprise, Energy and Communications
 (Sweden)",:base:address:public_body:
HeWRfUxg6FvLiml,"DEFRA
 (United Kingdom)","DEFRA
 (United Kingdom)",:base:address:public_body:
HeWRfUxg6FvLiml,Defra (United Kingdom),"DEFRA
 (United Kingdom)",:base:address:public_body:
EFstf6RDw9c8h81,Confederation of European Security Services (CoESS),Confederation of European Security Services (CoESS),:base:organisation:
EFstf6RDw9c8h81, Confederation of European Security Services (CoESS),Confederation of European Security Services (CoESS),:base:organisation:
Fi1oTvghXA8CF2W,"Ministry of Environment, Climate Change and Energy (Greece)","Ministry of Environment, Climate Change and Energy (Greece)",:base:address:public_body:
Fi1oTvghXA8CF2W,"Ministry of Environment, Energy and Climate Change (Greece)","Ministry of Environment, Climate Change and Energy (Greece)",:base:address:public_body:
CKmcLoVE8tWLWwf,European Sea Ports Organisation (ESPO),European Sea Ports Organisation (ESPO),:base:organisation:
CKmcLoVE8tWLWwf,ESPO - European Sea Ports Organisation,European Sea Ports Organisation (ESPO),:base:organisation:
FZxjrxlhN6npxoh,EuroCommerce,EuroCommerce,:base:organisation:
FZxjrxlhN6npxoh,EuroCommerce,EuroCommerce,:base:organisation:
FZxjrxlhN6npxoh,EUROCOMMERCE ,EuroCommerce,:base:organisation:
CtTFTbXUa4KhBcl,Zentralverband deutscher Konsumgenossenschaften e.V.,Zentralverband deutscher Konsumgenossenschaften e.V.,:base:organisation:
CtTFTbXUa4KhBcl,ZDK Zentralverband deutscher Konsumgenossenschaften e.V.,Zentralverband deutscher Konsumgenossenschaften e.V.,:base:organisation:
CsW8LzVlWrBs7Ie,European Crop Protection Association (ECPA),European Crop Protection Association (ECPA),:representative:base:address:organisation:geolocated:web:
CsW8LzVlWrBs7Ie,European Crop Protection Association,European Crop Protection Association (ECPA),:representative:base:address:organisation:geolocated:web:
CUS3ZWMgXEyQV2d,Ministry of the  Environment (Estonia),Ministry of the  Environment (Estonia),:base:address:public_body:
CUS3ZWMgXEyQV2d,Ministry of the Environment (Estonia),Ministry of the  Environment (Estonia),:base:address:public_body:
BWNnjmfHt2NO9u8,Ministry of Environment  (Lithuania),Ministry of Environment  (Lithuania),:base:address:public_body:
BWNnjmfHt2NO9u8,Ministry of Environment (Lithuania),Ministry of Environment  (Lithuania),:base:address:public_body:
EX8CVYa0H38ZnqR,Liga voor Mensenrechten - Belgium,Liga voor Mensenrechten - Belgium,:base:organisation:
EX8CVYa0H38ZnqR,LIGA VOOR MENSENRECHTEN - LVM,Liga voor Mensenrechten - Belgium,:base:organisation:
CTpspmLrp6ZNOJv,FIDA International,FIDA International,:base:organisation:
CTpspmLrp6ZNOJv,Fida,FIDA International,:base:organisation:
HZGNNQ97eb9My8M,European Coordination Via Campesina (ECVC),European Coordination Via Campesina (ECVC),:base:organisation:
HZGNNQ97eb9My8M,European Coordination Via Campesina,European Coordination Via Campesina (ECVC),:base:organisation:
Cnrsfg6rznm5UYU,CARITAS Europa,CARITAS Europa,:base:organisation:
Cnrsfg6rznm5UYU,Caritas Europa,CARITAS Europa,:base:organisation:
DOLPrGNL93ibSWK,RTL Group,RTL Group,:base:organisation:
DOLPrGNL93ibSWK,RTL,RTL Group,:base:organisation:
Bch161XpsYa4H0n,Arizona Chemical. B.V.,Arizona Chemical. B.V.,:base:organisation:
Bch161XpsYa4H0n,Arizona Chemical,Arizona Chemical. B.V.,:base:organisation:
BRLgwppDifeWlOq,Fidelity Worldwide Investment,Fidelity Worldwide Investment,:base:organisation:
BRLgwppDifeWlOq,Fidelity International,Fidelity Worldwide Investment,:base:organisation:
F3pvWxOoshkaxfz,Telefónica,Telefónica,:base:address:geolocated:organisation:representative:web:
F3pvWxOoshkaxfz,"Telefonica, S.A.",Telefónica,:base:address:geolocated:organisation:representative:web:
EdVQjyY1pvFyCkk,Union of the Electricity Industry (EURELECTRIC),Union of the Electricity Industry (EURELECTRIC),:base:organisation:
EdVQjyY1pvFyCkk,EURELECTRIC (Union of the Electricity Industry),Union of the Electricity Industry (EURELECTRIC),:base:organisation:
DMHNbe7hg44qO5z,European Confederation of Private Employment Agencies (Euro-CIETT),European Confederation of Private Employment Agencies (Euro-CIETT),:address:geolocated:base:representative:web:organisation:
DMHNbe7hg44qO5z,European Confederation of Private Employment Agencies,European Confederation of Private Employment Agencies (Euro-CIETT),:address:geolocated:base:representative:web:organisation:
GZkubuHe1j1RjmV,Euroclear SA/NV,Euroclear SA/NV,:base:organisation:
GZkubuHe1j1RjmV,Euroclear,Euroclear SA/NV,:base:organisation:
BqbIT2zvoJLATyA,European Central Bank (ECB),European Central Bank (ECB),:base:eu_body:organisation:public_body:web:
BqbIT2zvoJLATyA,European Central Bank,European Central Bank (ECB),:base:eu_body:organisation:public_body:web:
GYFkqRkpEaqWVeR,Unionen,Unionen,:base:organisation:
GYFkqRkpEaqWVeR,UNIONEN,Unionen,:base:organisation:
Hl3lql6uVPH3X80,Mr Lars Jope,Mr Lars Jope,:base:person:
Hl3lql6uVPH3X80,Mr Lars JOPE,Mr Lars Jope,:base:person:
YKzI2nUbYCXWueV,European Association for the Education of Adults (EAEA),European Association for the Education of Adults (EAEA),:base:address:geolocated:organisation:representative:web:
YKzI2nUbYCXWueV,European Association for the Education of Adults,European Association for the Education of Adults (EAEA),:base:address:geolocated:organisation:representative:web:
FwYbCH7LyCmcJ9n,CSC BXL,CSC BXL,:base:organisation:
FwYbCH7LyCmcJ9n,CSC,CSC BXL,:base:organisation:
DIUT8kPfqXMIURP,European Network Against Racism (ENAR),European Network Against Racism (ENAR),:base:organisation:
DIUT8kPfqXMIURP,European Network against Racism (ENAR),European Network Against Racism (ENAR),:base:organisation:
BGYyjINNhjgMeJG,CNV Internationaal,CNV Internationaal,:base:organisation:
BGYyjINNhjgMeJG,CNV,CNV Internationaal,:base:organisation:
Gf244J0BxCWfaai,European Photovoltaic Industry Association (EPIA),European Photovoltaic Industry Association (EPIA),:base:address:geolocated:organisation:representative:web:
Gf244J0BxCWfaai,European Photovoltaic Industry Association,European Photovoltaic Industry Association (EPIA),:base:address:geolocated:organisation:representative:web:
HZlNfBd8VnMJwvR,European Atomic Energy Forum (FORATOM),European Atomic Energy Forum (FORATOM),:base:address:geolocated:organisation:representative:web:
HZlNfBd8VnMJwvR,European Atomic Forum,European Atomic Energy Forum (FORATOM),:base:address:geolocated:organisation:representative:web:
wIq7p7CWqmdMUV2,Siemens AG,Siemens AG,:base:address:geolocated:organisation:
wIq7p7CWqmdMUV2,SIEMENS AKTIENGESELLSCHAFT,Siemens AG,:base:address:geolocated:organisation:
CKfzf1fFqgcZ2Rk,State Street Corporation,State Street Corporation,:base:organisation:
CKfzf1fFqgcZ2Rk,State Street,State Street Corporation,:base:organisation:
EEuP04DT86oD2Uq,UBS Deutschland,UBS Deutschland,:base:organisation:
EEuP04DT86oD2Uq,UBS,UBS Deutschland,:base:organisation:
DpcDnVwWKWQxcJc,THE SCOTCH WHISKY ASSOCIATION,THE SCOTCH WHISKY ASSOCIATION,:address:geolocated:web:organisation:base:representative:
DpcDnVwWKWQxcJc,Scotch Whisky Association,THE SCOTCH WHISKY ASSOCIATION,:address:geolocated:web:organisation:base:representative:
FZVuX3tpGZN5enm,Friends of the Earth Europe (FoEE),Friends of the Earth Europe (FoEE),:base:address:geolocated:organisation:representative:web:
FZVuX3tpGZN5enm,Friends of the Earth Europe,Friends of the Earth Europe (FoEE),:base:address:geolocated:organisation:representative:web:
FZKDTxz5ocHH3Rs,FoodDrink Europe,FoodDrink Europe,:base:organisation:
FZKDTxz5ocHH3Rs,FOODDRINKEUROPE,FoodDrink Europe,:base:organisation:
ScNvnzh5s1d8IEr,Ligue des droits de l'Homme (LDH),Ligue des droits de l'Homme (LDH),:base:organisation:
ScNvnzh5s1d8IEr,LIGUE DES DROITS DE L’HOMME - LDH,Ligue des droits de l'Homme (LDH),:base:organisation:
GJtN0FxOJo62BYr,TEARFUND,TEARFUND,:base:organisation:
GJtN0FxOJo62BYr,Tearfund,TEARFUND,:base:organisation:
ECNmsxw5aomje0Q,Transparency International - EU Office (TI-EU),Transparency International - EU Office (TI-EU),:geolocated:representative:address:organisation:web:base:
ECNmsxw5aomje0Q,Transparency International Liaison Office to the European Union,Transparency International - EU Office (TI-EU),:geolocated:representative:address:organisation:web:base:
CU5MLxgLEo9ZzBt,European Newspaper Publishers Association (ENPA),European Newspaper Publishers Association (ENPA),:web:geolocated:representative:base:address:organisation:
